Section Header,RMF Pillar,RMF Pillar Description,Suggested Action,Status,Trait,Focus Area,Sub Category
GOVERN 1.1,GOVERN ,"Legal and regulatory requirements involving AI are understood, managed, and documented.","Maintain awareness of the applicable legal and regulatory considerations and requirements specific to industry, sector, business purpose, and application context of the deployed AI system.",Keep,"Reliability, Safe",Culture,Active Awareness
MAP 5.2,MAP ,"Conditions for system modification, suspension, or decommissioning are identified.","Identify conditions under which the AI system should be modified, paused, or decommissioned.",Keep,"Value-Driven, Transparent",Governance,Change Management
MAP 1.4,MAP ,"System requirements, constraints, assumptions, and limitations are identified.","Identify system requirements, constraints, and design trade-offs relevant to risk management.",Reword and consolidate similar items,"Value-Driven, Transparent",Culture,Purpose
GOVERN 1.3,GOVERN ,"Processes and procedures are in place to identify, assess, and manage AI risks across the AI lifecycle.",Define assessment scales for measuring AI system impact (qualitative or quantitative).,Keep,"Transparent, Reliability",Observability,Define and Instrument 
MAP 4.1,MAP ,"Governance, accountability, and documentation needs are identified.","Identify governance, documentation, and accountability mechanisms required for the AI system.",Reword and consolidate similar items,"Value-Driven, Transparent",Culture,Roles & Responsibility
GOVERN 1.4,GOVERN ,Organizational policies and processes for documentation and transparency are established and maintained.,Identify accountable AI actors for evaluating and correcting risk management processes.,Keep,"Reliability, Transparent",Culture,Roles & Responsibility
GOVERN 1.5,GOVERN ,"Processes and procedures are in place for monitoring, incident response, and remediation related to AI systems.",Establish procedures for monitoring AI system performance and trustworthiness across the lifecycle.,Keep,Transparent,Observability,Evaluate and Measure 
GOVERN 1.5,GOVERN ,"Processes and procedures are in place for monitoring, incident response, and remediation related to AI systems.",Define organizational roles responsible for AI monitoring and incident response.,Keep,"Transparent, Reliability",Culture,Roles & Responsibility
GOVERN 1.7,GOVERN ,Processes are in place for the safe and responsible decommissioning of AI systems.,Define storage location and retention periods for decommissioned systems and artifacts.,Keep,"Secure, Transparent",Platform,Resilience
GOVERN 3.2,GOVERN ,Human-AI interaction considerations are addressed to support appropriate oversight and use.,Define human oversight responsibilities and acceptable human-AI configurations.,Keep,"Reliability, Safe, Transparent, Value-Driven",Culture,Roles & Responsibility
MANAGE 4.1,MANAGE ,Criteria and processes are established for limiting or decommissioning AI systems.,"Establish criteria for pausing, limiting, or decommissioning AI systems when risks exceed tolerance.",Combine ,"Value-Driven, Transparent",Governance,Change Management
MAP 1.1,MAP ,"The purpose, intended use, and context of the AI system are clearly defined.","Identify the purpose, intended use, and expected benefits of the AI system.",Keep,"Value-Driven, Reliability",Culture,Purpose
MAP 3.1,MAP ,"Metrics, benchmarks, and performance criteria are identified.","Identify metrics relevant to system performance, trustworthiness, and risk.",Keep,"Reliability, Transparent, Value-Driven",Observability,Define and Instrument 
MAP 3.4,MAP ,Human-AI interaction risks and usability considerations are identified.,"Identify human-AI interaction risks, including usability, automation bias, and over-reliance.",Keep,"Reliability, Safe, Value-Driven",Culture,Purpose
MAP 5.1,MAP ,Deployment and operational risks are identified.,"Identify risks associated with AI system deployment, scaling, or integration into operations.",Keep,"Value-Driven, Safe, Secure, Reliability",Platform,Resilience
GOVERN 1.2,GOVERN ,"The organization’s AI risk management policies, processes, procedures, and practices are documented, implemented, and enforced.",Define key terms and concepts related to AI systems and the scope of their purposes and intended uses.,Keep,"Value-Driven, Safe",Governance,Standards and Policies 
MAP 5.2,MAP ,"Conditions for system modification, suspension, or decommissioning are identified.","Identify signals, thresholds, or triggers indicating unacceptable risk levels.",Keep,"Value-Driven, Transparent, Safe",Observability,Define and Instrument 
MEASURE 1.1,MEASURE ,Appropriate metrics are selected to evaluate AI system performance and risk.,"Select and define metrics appropriate to the AI system’s intended purpose, context, and risk profile.",Keep,"Reliability, Value-Driven",Observability,Define and Instrument 
MEASURE 1.1,MEASURE ,Appropriate metrics are selected to evaluate AI system performance and risk.,Measure system performance against predefined baselines and benchmarks.,Keep,"Value-Driven, Reliability",Observability,Evaluate and Measure 
